SRR445809	WorkerPool5	Bisulfite-Seq	GENOMIC	8183	5782
SRR445808	WorkerPool4	Bisulfite-Seq	GENOMIC	7152	5014
SRR445807	WorkerPool3	Bisulfite-Seq	GENOMIC	10559	6944
SRR445806	WorkerPool2	Bisulfite-Seq	GENOMIC	6553	4277
SRR445805	WorkerPool1	Bisulfite-Seq	GENOMIC	5602	3689
SRR445799	NursePool1	Bisulfite-Seq	GENOMIC	24139	14654
SRR445778	NursePool2	Bisulfite-Seq	GENOMIC	14082	9926
SRR445777	NursePool3	Bisulfite-Seq	GENOMIC	15342	10741
SRR445776	NursePool4	Bisulfite-Seq	GENOMIC	24317	17152
SRR445775	NursePool5	Bisulfite-Seq	GENOMIC	26406	18462
SRR445774	NursePool6	Bisulfite-Seq	GENOMIC	6079	4253
SRR445773	ForagerPool1	Bisulfite-Seq	GENOMIC	15639	10185
SRR445771	ForagerPool2	Bisulfite-Seq	GENOMIC	17026	11083
SRR445770	ForagerPool3	Bisulfite-Seq	GENOMIC	15720	10981
SRR445769	ForagerPool4	Bisulfite-Seq	GENOMIC	7377	5276
SRR445768	ForagerPool5	Bisulfite-Seq	GENOMIC	12286	8732
SRR445767	ForagerPool6	Bisulfite-Seq	GENOMIC	8953	6270
